ID,Name,Website,Description,Geographical extent,"Geographic coverage
Country","Geographic coverage 
NUTS 2021","Responsible
Organization","Responsible 
Organization 
Category","Functions of Government 
(COFOG level I)","Functions of Government 
(COFOG level II)",Status,Start Year,End Year,AI Classification (I),"AI Classification 
Subdomain (II)
(Main)","AI Classification 
Subdomain (II)
(Other I)","AI Classification 
Subdomain (II)
(Other II)","AI Classification 
Subdomain (II)
(Other III)",AI Keywords (III),Process Type,Application Type,Technology,Interaction,Data Scope 1,Data Scope 2,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administration,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminate the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source
663,"Caterina, the first (virtual) municipal employee for identity cards and changes of residence",https://www.comune.siena.it/La-Citta/Comunita/Caterina,"Caterina is the first virtual employee and her task will be to make the life of the Sienese easier thanks to the use of artificial intelligence. Young and old, therefore, will be able to contact you to obtain an identity card, change residence, renew the electoral card and complete other administrative procedures. Citizens residing in Siena, therefore, will be able to avoid long queues and stay comfortably at home to deal with those that sometimes are nothing more than boring paperwork.",Local,Italy,IT,Siena Municipality,Local Government,General public services,General public services n.e.c.,Implemented,2019,,Communication,Natural language processing,Machine learning,,,chatbot,Public services and engagement,Engagement management,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,"Caterina, la prima dipendente comunale (virtuale) per Carte d’Identità e Cambi di residenza"
664,"Anna, a bot for processing Expense Claim",,"The Norwegian University of Science and Technology (NTNU) and Visma has agreed to test letting a bot automatically process expense claims. The university is the first organisation to implement this functionality, financed by the NTNU digitalisation program",Regional,Norway,NO,Norwegian University of Science and Technology (NTNU),Academic-Research,General public services,General services.,Implemented,2018,,Communication,Natural language processing,Automated reasoning,,,chatbot,Public services and engagement,Service integration (various),Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,Anna the bot has found a job at the largest university in Norway
665,Bees help to bring cleaner air to Madrid metro,,"Accenture has helped the Spanish metro develop and implement a self-learning, artificial intelligence ventilation system that ensures high air quality in its stations",Local,Spain,ES,"Madrid Metro (Department of Public Works, City Planning, and Transportation)",Private sector,Environmental protection,Environmental protection n.e.c.,Pilot,2019,,Learning,Machine learning,Optimisation,,,chatbot,Enforcement,Management of auditing and logging,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,Bees help to bring cleaner air to Madrid metro
666,Vienna Airport launches Bespoke's AI chatbot service Bebot,https://www.viennaairport.com/,"The AI solution, developed by Japanese firm Bespoke, is designed as a communication tool for passengers. According to Bespoke, the AI chatbot service is already available at several airports, including Tokyo in Japan and Tampa in the US.
Vienna AirportCity visitors can use Bebot for queries related to Covid-19 and transportation, as well as to procure facility information and for directions in the area.
The solution is available on mobile or desktop to all users of Vienna AirportCity’s on-site Wi-Fi or the widget installed on the website.",Regional,Austria,AT,Vienna AirportCity,Private sector,Economic affairs,Communication,Implemented,2020,,Communication,Natural language processing,Searching,,,chatbot,Public services and engagement,Service personalisation (various),Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,Vienna Airport launches Bespoke’s AI chatbot service Bebot
667,AI technology speeds up historical image handling at Hungary's National Archive.,https://videos.microsoft.com/customer-stories/watch/uwk2D7xW2KEsAkQShhxjZh?,"NAVA—part of MTVA, the National Audiovisual Archive of Hungary—acts to preserve the country’s rich database of twentieth-century imagery and audio heritage. Microsoft Azure Cognitive Services has proven the only tool to help do what the team needs: accurately classify millions of images that will serve as the country’s long-term collective memory bank.",National,Hungary,HU,NAVA,Central-Government,"Recreation, culture and religion",Cultural services.,Pilot,2019,,Perception,Computer vision,Machine learning,,,chatbot,Internal management,Internal support processes,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,AI technology speeds up historical image handling at Hungary’s National Archive.
668,Unlocking the potential of crowdsourcing for public decision-making with artificial intelligence,https://www.citizenlab.co/platform-online-engagement-toolbox,"CitizenLab has developed machine-learning algorithms in order to help civil servants easily process thousands of citizen contributions and efficiently use these insights in decision-making. The dashboards on our platform classify ideas, show what topics are emerging, summarise trends and cluster similar contributions by theme, demographic trait or location. CitizenLab has developed its own NLP (Natural Language Processing) techniques, with the capacity to automatically classify and analyse thousands of contributions collected on citizen participation platforms. The algorithms identify the main topics and group similar ideas together into clusters",National,Belgium,BE,CitizenLab,Private sector,Economic affairs,Communication,Implemented,2018,,Planning,Planning and Scheduling,Machine learning,Computer vision,,Computer Vision,Public services and engagement,Engagement management,Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,x,,Open Government Capabilities,FALSE,,,,,,,,Open government capabilities,x,x,,Unlocking the potential of crowdsourcing for public decision-making with artificial intelligence
669,Artificial intelligence dives into thousands of WWII photographs,https://ieeexplore.ieee.org/document/9159591,"In a new international cross disciplinary study, researchers have used artificial intelligence to analyse large amounts of historical photos from WW2. Among other things, the study shows that artificial intelligence can recognise the identity of photographers based on the content of photos taken by them. Artificial Intelligence (AI) is now able to identify photographers based on the content of images they've taken.",National,Denmark,DK,Aarhus University,Academic-Research,"Recreation, culture and religion",Cultural services.,Pilot,2020,,Perception,Computer vision,Machine learning,,,Intelligent Data Processing,Internal management,Internal support processes,Artificial Intelligence,G2G,Historical Data,Location Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,x,,x,,,,FALSE,,,,Artificial intelligence dives into thousands of WWII photographs
670,U.K. to use AI to spot dangerous side effects in the COVID-19 vaccinations,,"To automate the process, the MHRA has given a $1.96 million contract to the U.K. arm of Genpact, the U.S.- listed business process outsourcing firm, to design a machine learning system that can ingest reports of side effects and pick up on potential safety concerns.The regulator told the Financial Times that, based on its previous experience with vaccination campaigns, it would expect that, over a six- to 12-month period, there might be 50,000 to 100,000 reports of suspicious side effects for every 100 million doses injected",National,United Kingdom,UK,U.K. Medicines and Healthcare Products Regulatory Agency (MHRA),Central-Government,Health,R&D health.,Planned,2021,,Planning,Planning and Scheduling,Optimisation,,,,"Analysis, monitoring and regulatory research",Monitoring policy implementation,Artificial Intelligence,G2G,Historical Data,Historical Data,FALSE,,,,,,Improved Administration Efficency,Improved Administrative Efficiency,,,x,,,,,FALSE,,,,U.K. to use A.I. to spot dangerous side effects in the millions of COVID-19 vaccinations it will deliver
671,"Aurora, the new virtual assistant of the South East Tuscany AUSL is online",https://www.quest-it.com/comunicati-stampa/online-aurora-il-nuovo-assistente-virtuale-della-ausl-toscana-sud-est/,"It is the virtual assistant that has been available for a few days on the home of the company portal. The South East Tuscany USL Company inaugurates one of the first projects in Europe of artificial intelligence applied to the world of information communication. Through the dedicated banner, it is possible for any citizen of the provinces of Siena, Arezzo and Grosseto to receive information services simply by querying the Aurora 3D avatar directly from a smartphone or PC.",Regional,Italy,IT,Azienda USL Toscana Sud Est (Regional Health structure),Local Government,Health,Public health services.,In development,2020,,Communication,Natural language processing,Automated reasoning,,,chatbot,Public services and engagement,Service personalisation (various),Artificial Intelligence,G2C,Dynamic Data,Dynamic Data,Improved Public Service,,x,,,,FALSE,FALSE,,,,,,,,FALSE,,,,"È online Aurora, il nuovo assistente virtuale della AUSL Toscana sud est"
672,Self-driving buses roll into Gothenburg,https://www.themayor.eu/en/a/view/self-driving-buses-roll-into-gothenburg-7044,The Swedish city of Gothenburg is already looking towards the next chapter of mobility innovation when it comes to the public transport service provision.  Transport operator Keolis has brought its autonomous electric self-driving shuttles to inaugurate a new 1.8-km line that will serve various points within the Lindholmen Industrial and Science Park. The two vehicles started operating on 18 January but for the time being this is a trial run of the service which will last 4.5 months. These will first only run a short route under the conditions of a test trial,Regional,Sweden,SE,City of Gothenburg,Local Government,Economic affairs,Transport,Planned,2021,,Integration and Interaction,Connected and Automated vehicles,Machine learning,Automated reasoning,,Autonomous Vehicle,Public services and engagement,Service integration (various),Artificial Intelligence,G2C,Dynamic Data,Location Data,Improved Public Service,,x,,x,,FALSE,FALSE,,,,,,,,FALSE,,,,Self-driving buses roll into Gothenburg
